Switch,Portnumber,Portdescription,Vlanstag,vlansuntag
BallroomA,1,Ballroom_A1_AP,"40,41,42,43,60",50
BallroomA,2,Ballroom_A2_AP,"40,41,42,43,60",50
BallroomA,3,Ballroom_A3_AP,"40,41,42,43,60",50
BallroomA,13,Ballroom_A_AV,,70
BallroomA,14,Ballroom_A_AV,,70
BallroomA,15,Ballroom_A_AV,,70
BallroomA,21,Ballroom_A_speakers,,65
BallroomA,24,uplink_to_Ballroom_MDF,"40,41,42,43,55,60,61,65,70,80,100-111",50
BallroomB,1,Ballroom_B1_AP,"40,41,42,43,60",50
BallroomB,2,Ballroom_B2_AP,"40,41,42,43,60",50
BallroomB,3,Ballroom_B3_AP,"40,41,42,43,60",50
BallroomB,4,Ballroom_B_hallway_AP,"40,41,42,43,60",50
BallroomB,15,Ballroom_B_AV,,70
BallroomB,16,Ballroom_B_AV,,70
BallroomB,17,Ballroom_B_AV,,70
BallroomB,20,Ballroom_B_speakers,,65
BallroomB,24,uplink_to_Ballroom_MDF_sw,"40,41,42,43,55,60,61,65,70,80,100-111",50
BallroomC,1,Ballroom_C1_AP,"40,41,42,43,60",50
BallroomC,2,Ballroom_C2_AP,"40,41,42,43,60",50
BallroomC,3,Ballroom_C3_AP,"40,41,42,43,60",50
BallroomC,4,Ballroom_C_Lobby_AP,"40,41,42,43,60",50
BallroomC,11,Ballroom_C_AV,,70
BallroomC,12,Ballroom_C_AV,,70
BallroomC,13,Ballroom_C_AV,,70
BallroomC,20,Ballroom_C_speakers,,65
BallroomC,23,Display_outside_of_C,,55
BallroomC,24,Display_outside_of_C,,55
BallroomC,25,uplink_to_Ballroom_MDF_sw,"40,41,42,43,55,60,61,65,70,80,100-111",50
BallroomDE,1,Ballroom_DE1_AP,"40,41,42,43,60",50
BallroomDE,2,Ballroom_DE2_AP,"40,41,42,43,60",50
BallroomDE,3,Ballroom_DE3_AP,"40,41,42,43,60",50
BallroomDE,4,Ballroom_DE4_AP,"40,41,42,43,60",50
BallroomDE,5,Ballroom_DE5_AP,"40,41,42,43,60",50
BallroomDE,6,Ballroom_DE6_AP,"40,41,42,43,60",50
BallroomDE,7,Ballroom_DE7_AP,"40,41,42,43,60",50
BallroomDE,8,Ballroom_D_hallway_AP,"40,41,42,43,60",50
BallroomDE,13,Ballroom_DE_AV,,70
BallroomDE,14,Ballroom_DE_AV,,70
BallroomDE,15,Ballroom_DE_AV,,70
BallroomDE,20,Ballroom_DE_speakers,,65
BallroomDE,24,uplink_to_Ballroom_MDF,"40,41,42,43,55,60,61,65,70,80,100-111",50
BallroomF,1,Ballroom_F1_AP,"40,41,42,43,60",50
BallroomF,2,Ballroom_F2_AP,"40,41,42,43,60",50
BallroomF,3,Ballroom_F3_AP,"40,41,42,43,60",50
BallroomF,4,Ballroom_F_hallway_AP,"40,41,42,43,60",50
BallroomF,13,Ballroom_F_AV,,70
BallroomF,14,Ballroom_F_AV,,70
BallroomF,15,Ballroom_F_AV,,70
BallroomF,20,Ballroom_F_speakers,,65
BallroomF,22,Display_outside_of_F,,55
BallroomF,23,Display_outside_of_F,,55
BallroomF,24,uplink_to_Ballroom_MDF_sw,"40,41,42,43,55,60,61,65,70,80,100-111",50
BallroomG,1,Ballroom_G1_AP,"40,41,42,43,60",50
BallroomG,2,Ballroom_G2_AP,"40,41,42,43,60",50
BallroomG,3,Ballroom_G3_AP,"40,41,42,43,60",50
BallroomG,4,Ballroom_G_hallway_AP,"40,41,42,43,60",50
BallroomG,11,Ballroom_G_AV,,70
BallroomG,12,Ballroom_G_AV,,70
