Hostname,ip,power5g,freq5g,power2g,freq2g,mac,building
room106ap1,10.1.0.75,4,36,5,1,06:A1:51:9D:60:F8,conf
room106ap2,10.1.0.76,4,48,5,6,E2:46:9A:5A:C0:63,conf
room106ap3,10.1.0.77,4,,5,11,,conf
outsideroom106ap,10.1.0.78,4,,5,1,,conf
room107ap1,10.1.0.79,4,,5,,,conf
room108ap2,10.1.0.80,4,,5,,,conf
room109ap3,10.1.0.81,4,,5,,,conf
outsideroom107ap,10.1.0.82,4,,5,,,conf
room101ap1,10.1.0.83,4,,5,,,conf
room101ap2,10.1.0.84,4,,5,,,conf
outsideroom101ap,10.1.0.85,4,,5,,,conf
room102ap1,10.1.0.86,4,,5,,,conf
room102ap2,10.1.0.87,4,,5,,,conf
room103ap1,10.1.0.88,4,,5,,,conf
room103ap2,10.1.0.89,4,,5,,,conf
room104ap1,10.1.0.90,4,,5,,,conf
room104ap2,10.1.0.91,4,,5,,,conf
room105ap1,10.1.0.92,4,,5,,,conf
room105ap2,10.1.0.93,4,,5,,,conf
outsideroom105ap,10.1.0.94,4,,5,,,conf
room204ap,10.1.0.95,4,,5,,,conf
room205ap,10.1.0.96,4,,5,,,conf
hamap,10.1.0.97,4,,5,,,conf
room207ap,10.1.0.98,4,,5,,,conf
room208ap,10.1.0.99,4,,5,,,conf
room209ap,10.1.0.100,4,,5,,,conf
outsideroom210ap,10.1.0.101,4,,5,,,conf
room211ap1,10.1.0.102,4,,5,,,conf
room211ap2,10.1.0.103,4,,5,,,conf
outsideroom211ap,10.1.0.104,4,,5,,,conf
room214ap1,10.1.0.105,4,,5,,,conf
room214ap2,10.1.0.106,4,,5,,,conf
outsideroom214ap,10.1.0.107,4,,5,,,conf
room215ap,10.1.0.108,4,,5,,,conf
ballroomAap1,10.1.0.109,4,,5,,,expo
ballroomAap2,10.1.0.110,4,,5,,,expo
ballroomAap3,10.1.0.111,4,,5,,,expo
ballroomBap1,10.1.0.112,4,,5,,,expo
ballroomBap2,10.1.0.113,4,,5,,,expo
ballroomBap3,10.1.0.114,4,,5,,,expo
outsideofballroomBap,10.1.0.115,4,,5,,,expo
ballroomCap1,10.1.0.116,4,,5,,,expo
ballroomCap2,10.1.0.117,4,,5,,,expo
ballroomCap3,10.1.0.118,4,,5,,,expo
ballroomDEap1,10.1.0.119,4,,5,,,expo
ballroomDEap2,10.1.0.120,4,,5,,,expo
ballroomDEap3,10.1.0.121,4,,5,,,expo
ballroomDEap4,10.1.0.122,4,,5,,,expo
ballroomDEap5,10.1.0.123,4,,5,,,expo
ballroomDEap6,10.1.0.124,4,,5,,,expo
ballroomDEap7,10.1.0.125,4,,5,,,expo
outsideofballroomDEap,10.1.0.126,4,,5,,,expo
ballroomFap1,10.1.0.127,4,,5,,,expo
ballroomFap2,10.1.0.128,4,,5,,,expo
ballroomFap3,10.1.0.129,4,,5,,,expo
outsideofballroomFap,10.1.0.130,4,,5,,,expo
ballroomGap1,10.1.0.131,4,,5,,,expo
ballroomGap2,10.1.0.132,4,,5,,,expo
ballroomGap3,10.1.0.133,4,,5,,,expo
outsideofballroomGap,10.1.0.134,4,,5,,,expo
ballroomHap1,10.1.0.135,4,,5,,,expo
ballroomHap2,10.1.0.136,4,,5,,,expo
ballroomHap3,10.1.0.137,4,,5,,,expo
ballroomJap1,10.1.0.138,4,,5,,,expo
ballroomJap2,10.1.0.139,4,,5,,,expo
ballroomIap1,10.1.0.140,4,,5,,,expo
ballroomIap2,10.1.0.141,4,,5,,,expo
expoAap1,10.1.0.142,4,,5,,,expo
expoAap2,10.1.0.143,4,,5,,,expo
expoAap3,10.1.0.144,4,,5,,,expo
expoAap4,10.1.0.145,4,,5,,,expo
expoAap5,10.1.0.146,4,,5,,,expo
expoAap6,10.1.0.147,4,,5,,,expo
expoAap7,10.1.0.148,4,,5,,,expo
outsideofexpoAap,10.1.0.149,4,,5,,,expo
expoBap1,10.1.0.150,4,,5,,,expo
expoBap2,10.1.0.151,4,,5,,,expo
expoBap3,10.1.0.152,4,,5,,,expo
expoBap4,10.1.0.153,4,,5,,,expo
expoBap5,10.1.0.154,4,,5,,,expo
expoBap6,10.1.0.155,4,,5,,,expo
expoBap7,10.1.0.156,4,,5,,,expo
expoBap8,10.1.0.157,4,,5,,,expo
expoBap9,10.1.0.158,4,,5,,,expo
expoBap10,10.1.0.159,4,,5,,,expo
outsideofexpoBap,10.1.0.160,4,,5,,,expo
regdeskAP,10.1.0.161,4,,5,,,expo
